3	24576	0.880	4000.0	49500.0	480.0	UPGRADE
6	49152	0.940	6000.0	49000.0	460.0	UPGRADE
9	73728	1.000	8000.0	48500.0	440.0	UPGRADE
12	98304	1.000	10000.0	48000.0	420.0	UPGRADE
15	122880	1.000	12000.0	47500.0	400.0	UPGRADE
18	147456	1.000	14000.0	47000.0	380.0	UPGRADE
21	172032	1.000	16000.0	46500.0	360.0	UPGRADE
24	196608	1.000	18000.0	46000.0	340.0	UPGRADE
27	221184	1.000	20000.0	45500.0	320.0	UPGRADE
30	245760	1.000	22000.0	45000.0	300.0	UPGRADE
33	270336	1.000	24000.0	44500.0	280.0	UPGRADE
36	294912	1.000	26000.0	44000.0	260.0	UPGRADE
39	319488	1.000	28000.0	43500.0	240.0	UPGRADE
42	344064	1.000	30000.0	43000.0	220.0	UPGRADE
45	368640	1.000	32000.0	42500.0	200.0	UPGRADE
48	393216	1.000	34000.0	42000.0	200.0	UPGRADE
51	417792	1.000	36000.0	41500.0	200.0	UPGRADE
54	442368	1.000	38000.0	41000.0	200.0	UPGRADE
57	466944	1.000	40000.0	40500.0	200.0	UPGRADE
60	491520	1.000	40000.0	40000.0	200.0	UPGRADE
63	516096	1.000	40000.0	39500.0	200.0	UPGRADE
66	540672	1.000	40000.0	39000.0	200.0	UPGRADE
69	565248	1.000	40000.0	38500.0	200.0	UPGRADE
72	589824	1.000	40000.0	38000.0	200.0	UPGRADE
75	614400	1.000	40000.0	37500.0	200.0	UPGRADE
78	638976	1.000	40000.0	37000.0	200.0	UPGRADE
81	663552	1.000	40000.0	36500.0	200.0	UPGRADE
84	688128	1.000	40000.0	36000.0	200.0	UPGRADE
87	712704	1.000	40000.0	35500.0	200.0	UPGRADE
90	737280	1.000	40000.0	35000.0	200.0	UPGRADE
93	761856	1.000	40000.0	34500.0	200.0	UPGRADE
96	786432	1.000	40000.0	34000.0	200.0	UPGRADE
99	811008	1.000	40000.0	33500.0	200.0	UPGRADE
102	835584	1.000	40000.0	33000.0	200.0	UPGRADE
105	860160	1.000	40000.0	32500.0	200.0	UPGRADE
108	884736	1.000	40000.0	32000.0	200.0	UPGRADE
111	909312	1.000	40000.0	31500.0	200.0	UPGRADE
114	933888	1.000	40000.0	31000.0	200.0	UPGRADE
117	958464	1.000	40000.0	30500.0	200.0	UPGRADE
120	983040	1.000	40000.0	30000.0	200.0	UPGRADE
