8	65536	0.820	4000.0	480.0	UPGRADE
14	114688	0.840	6000.0	460.0	UPGRADE
17	139264	0.900	8000.0	440.0	UPGRADE
20	163840	0.980	10000.0	420.0	UPGRADE
23	188416	1.000	12000.0	400.0	UPGRADE
26	212992	1.000	14000.0	380.0	UPGRADE
29	237568	1.000	16000.0	360.0	UPGRADE
32	262144	1.000	18000.0	340.0	UPGRADE
35	286720	1.000	20000.0	320.0	UPGRADE
38	311296	1.000	22000.0	300.0	UPGRADE
41	335872	1.000	24000.0	280.0	UPGRADE
44	360448	1.000	26000.0	260.0	UPGRADE
47	385024	1.000	28000.0	240.0	UPGRADE
50	409600	1.000	30000.0	220.0	UPGRADE
53	434176	1.000	32000.0	200.0	UPGRADE
56	458752	1.000	34000.0	200.0	UPGRADE
59	483328	1.000	36000.0	200.0	UPGRADE
62	507904	1.000	38000.0	200.0	UPGRADE
65	532480	1.000	40000.0	200.0	UPGRADE
