10	81920	0.940	4000.0	49500.0	480.0	UPGRADE
13	106496	0.980	6000.0	49000.0	460.0	UPGRADE
16	131072	1.000	8000.0	48500.0	440.0	UPGRADE
19	155648	1.000	10000.0	48000.0	420.0	UPGRADE
22	180224	1.000	12000.0	47500.0	400.0	UPGRADE
25	204800	1.000	14000.0	47000.0	380.0	UPGRADE
28	229376	1.000	16000.0	46500.0	360.0	UPGRADE
31	253952	1.000	18000.0	46000.0	340.0	UPGRADE
34	278528	1.000	20000.0	45500.0	320.0	UPGRADE
37	303104	1.000	22000.0	45000.0	300.0	UPGRADE
40	327680	1.000	24000.0	44500.0	280.0	UPGRADE
43	352256	1.000	26000.0	44000.0	260.0	UPGRADE
46	376832	1.000	28000.0	43500.0	240.0	UPGRADE
49	401408	1.000	30000.0	43000.0	220.0	UPGRADE
52	425984	1.000	30000.0	42500.0	200.0	UPGRADE
55	450560	1.000	30000.0	42000.0	200.0	UPGRADE
58	475136	1.000	30000.0	41500.0	200.0	UPGRADE
61	499712	1.000	30000.0	41000.0	200.0	UPGRADE
64	524288	1.000	30000.0	40500.0	200.0	UPGRADE
67	548864	1.000	30000.0	40000.0	200.0	UPGRADE
70	573440	1.000	30000.0	39500.0	200.0	UPGRADE
73	598016	1.000	30000.0	39000.0	200.0	UPGRADE
76	622592	1.000	30000.0	38500.0	200.0	UPGRADE
79	647168	1.000	30000.0	38000.0	200.0	UPGRADE
82	671744	1.000	30000.0	37500.0	200.0	UPGRADE
85	696320	1.000	30000.0	37000.0	200.0	UPGRADE
88	720896	1.000	30000.0	36500.0	200.0	UPGRADE
91	745472	1.000	30000.0	36000.0	200.0	UPGRADE
94	770048	1.000	30000.0	35500.0	200.0	UPGRADE
97	794624	1.000	30000.0	35000.0	200.0	UPGRADE
100	819200	1.000	30000.0	34500.0	200.0	UPGRADE
103	843776	1.000	30000.0	34000.0	200.0	UPGRADE
106	868352	1.000	30000.0	33500.0	200.0	UPGRADE
109	892928	1.000	30000.0	33000.0	200.0	UPGRADE
112	917504	1.000	30000.0	32500.0	200.0	UPGRADE
115	942080	1.000	30000.0	32000.0	200.0	UPGRADE
118	966656	1.000	30000.0	31500.0	200.0	UPGRADE
121	991232	1.000	30000.0	31000.0	200.0	UPGRADE
124	1015808	1.000	30000.0	30500.0	200.0	UPGRADE
127	1040384	1.000	30000.0	30000.0	200.0	UPGRADE
